subscriber_id,subscriber_name,subscriber_mob,subscriber_email,subscriber_address_id,subscriber_sys_cre_date,subscriber_sys_upd_date,subscriber_Active_flag,subscriber_prepaid_plan_id,subscriber_postpaid_plan_id
54,TERESA ROGERS,54374,TERESA.ROGERS@sakilacustomer.org,AD_58,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
55,DORIS REED,54375,DORIS.REED@sakilacustomer.org,AD_59,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
56,GLORIA COOK,54376,GLORIA.COOK@sakilacustomer.org,AD_60,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
57,EVELYN MORGAN,54377,EVELYN.MORGAN@sakilacustomer.org,AD_61,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
58,JEAN BELL,54378,JEAN.BELL@sakilacustomer.org,AD_62,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
59,CHERYL MURPHY,54379,CHERYL.MURPHY@sakilacustomer.org,AD_63,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
60,MILDRED BAILEY,54380,MILDRED.BAILEY@sakilacustomer.org,AD_64,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
61,KATHERINE RIVERA,54381,KATHERINE.RIVERA@sakilacustomer.org,AD_65,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
62,JOAN COOPER,54382,JOAN.COOPER@sakilacustomer.org,AD_66,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
63,ASHLEY RICHARDSON,54383,ASHLEY.RICHARDSON@sakilacustomer.org,AD_67,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
64,JUDITH COX,54384,JUDITH.COX@sakilacustomer.org,AD_68,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
65,ROSE HOWARD,54385,ROSE.HOWARD@sakilacustomer.org,AD_69,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
66,JANICE WARD,54386,JANICE.WARD@sakilacustomer.org,AD_70,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
67,KELLY TORRES,54387,KELLY.TORRES@sakilacustomer.org,AD_71,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
68,NICOLE PETERSON,54388,NICOLE.PETERSON@sakilacustomer.org,AD_72,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
69,JUDY GRAY,54389,JUDY.GRAY@sakilacustomer.org,AD_73,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
70,CHRISTINA RAMIREZ,54390,CHRISTINA.RAMIREZ@sakilacustomer.org,AD_74,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
71,KATHY JAMES,54391,KATHY.JAMES@sakilacustomer.org,AD_75,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
72,THERESA WATSON,54392,THERESA.WATSON@sakilacustomer.org,AD_76,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
73,BEVERLY BROOKS,54393,BEVERLY.BROOKS@sakilacustomer.org,AD_77,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
74,DENISE KELLY,54394,DENISE.KELLY@sakilacustomer.org,AD_78,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
75,TAMMY SANDERS,54395,TAMMY.SANDERS@sakilacustomer.org,AD_79,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
76,IRENE PRICE,54396,IRENE.PRICE@sakilacustomer.org,AD_80,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
77,JANE BENNETT,54397,JANE.BENNETT@sakilacustomer.org,AD_81,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
78,LORI WOOD,54398,LORI.WOOD@sakilacustomer.org,AD_82,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
79,RACHEL BARNES,54399,RACHEL.BARNES@sakilacustomer.org,AD_83,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
80,MARILYN ROSS,54400,MARILYN.ROSS@sakilacustomer.org,AD_84,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
81,ANDREA HENDERSON,54401,ANDREA.HENDERSON@sakilacustomer.org,AD_85,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
82,KATHRYN COLEMAN,54402,KATHRYN.COLEMAN@sakilacustomer.org,AD_86,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
83,LOUISE JENKINS,54403,LOUISE.JENKINS@sakilacustomer.org,AD_87,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
84,SARA PERRY,54404,SARA.PERRY@sakilacustomer.org,AD_88,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
85,ANNE POWELL,54405,ANNE.POWELL@sakilacustomer.org,AD_89,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
86,JACQUELINE LONG,54406,JACQUELINE.LONG@sakilacustomer.org,AD_90,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
87,WANDA PATTERSON,54407,WANDA.PATTERSON@sakilacustomer.org,AD_91,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
88,BONNIE HUGHES,54408,BONNIE.HUGHES@sakilacustomer.org,AD_92,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
89,JULIA FLORES,54409,JULIA.FLORES@sakilacustomer.org,AD_93,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
90,RUBY WASHINGTON,54410,RUBY.WASHINGTON@sakilacustomer.org,AD_94,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
91,LOIS BUTLER,54411,LOIS.BUTLER@sakilacustomer.org,AD_95,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
92,TINA SIMMONS,54412,TINA.SIMMONS@sakilacustomer.org,AD_96,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
93,PHYLLIS FOSTER,54413,PHYLLIS.FOSTER@sakilacustomer.org,AD_97,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
94,NORMA GONZALES,54414,NORMA.GONZALES@sakilacustomer.org,AD_98,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
95,PAULA BRYANT,54415,PAULA.BRYANT@sakilacustomer.org,AD_99,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
96,DIANA ALEXANDER,54416,DIANA.ALEXANDER@sakilacustomer.org,AD_100,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
97,ANNIE RUSSELL,54417,ANNIE.RUSSELL@sakilacustomer.org,AD_101,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
98,LILLIAN GRIFFIN,54418,LILLIAN.GRIFFIN@sakilacustomer.org,AD_102,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
99,EMILY DIAZ,54419,EMILY.DIAZ@sakilacustomer.org,AD_103,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
100,ROBIN HAYES,54420,ROBIN.HAYES@sakilacustomer.org,AD_104,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
101,PEGGY MYERS,54421,PEGGY.MYERS@sakilacustomer.org,AD_105,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
102,CRYSTAL FORD,54422,CRYSTAL.FORD@sakilacustomer.org,AD_106,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
103,GLADYS HAMILTON,54423,GLADYS.HAMILTON@sakilacustomer.org,AD_107,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
104,RITA GRAHAM,54424,RITA.GRAHAM@sakilacustomer.org,AD_108,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
105,DAWN SULLIVAN,54425,DAWN.SULLIVAN@sakilacustomer.org,AD_109,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
106,CONNIE WALLACE,54426,CONNIE.WALLACE@sakilacustomer.org,AD_110,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
107,FLORENCE WOODS,54427,FLORENCE.WOODS@sakilacustomer.org,AD_111,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
108,TRACY COLE,54428,TRACY.COLE@sakilacustomer.org,AD_112,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
109,EDNA WEST,54429,EDNA.WEST@sakilacustomer.org,AD_113,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
110,TIFFANY JORDAN,54430,TIFFANY.JORDAN@sakilacustomer.org,AD_114,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
111,CARMEN OWENS,54431,CARMEN.OWENS@sakilacustomer.org,AD_115,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
112,ROSA REYNOLDS,54432,ROSA.REYNOLDS@sakilacustomer.org,AD_116,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
113,CINDY FISHER,54433,CINDY.FISHER@sakilacustomer.org,AD_117,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
114,GRACE ELLIS,54434,GRACE.ELLIS@sakilacustomer.org,AD_118,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
115,WENDY HARRISON,54435,WENDY.HARRISON@sakilacustomer.org,AD_119,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
116,VICTORIA GIBSON,54436,VICTORIA.GIBSON@sakilacustomer.org,AD_120,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
117,EDITH MCDONALD,54437,EDITH.MCDONALD@sakilacustomer.org,AD_121,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
118,KIM CRUZ,54438,KIM.CRUZ@sakilacustomer.org,AD_122,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
119,SHERRY MARSHALL,54439,SHERRY.MARSHALL@sakilacustomer.org,AD_123,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
120,SYLVIA ORTIZ,54440,SYLVIA.ORTIZ@sakilacustomer.org,AD_124,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
121,JOSEPHINE GOMEZ,54441,JOSEPHINE.GOMEZ@sakilacustomer.org,AD_125,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
122,THELMA MURRAY,54442,THELMA.MURRAY@sakilacustomer.org,AD_126,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
123,SHANNON FREEMAN,54443,SHANNON.FREEMAN@sakilacustomer.org,AD_127,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
124,SHEILA WELLS,54444,SHEILA.WELLS@sakilacustomer.org,AD_128,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
125,ETHEL WEBB,54445,ETHEL.WEBB@sakilacustomer.org,AD_129,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
126,ELLEN SIMPSON,54446,ELLEN.SIMPSON@sakilacustomer.org,AD_130,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
127,ELAINE STEVENS,54447,ELAINE.STEVENS@sakilacustomer.org,AD_131,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
128,MARJORIE TUCKER,54448,MARJORIE.TUCKER@sakilacustomer.org,AD_132,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
129,CARRIE PORTER,54449,CARRIE.PORTER@sakilacustomer.org,AD_133,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
130,CHARLOTTE HUNTER,54450,CHARLOTTE.HUNTER@sakilacustomer.org,AD_134,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
131,MONICA HICKS,54451,MONICA.HICKS@sakilacustomer.org,AD_135,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
132,ESTHER CRAWFORD,54452,ESTHER.CRAWFORD@sakilacustomer.org,AD_136,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
133,PAULINE HENRY,54453,PAULINE.HENRY@sakilacustomer.org,AD_137,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
134,EMMA BOYD,54454,EMMA.BOYD@sakilacustomer.org,AD_138,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
135,JUANITA MASON,54455,JUANITA.MASON@sakilacustomer.org,AD_139,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
136,ANITA MORALES,54456,ANITA.MORALES@sakilacustomer.org,AD_140,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
137,RHONDA KENNEDY,54457,RHONDA.KENNEDY@sakilacustomer.org,AD_141,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
138,HAZEL WARREN,54458,HAZEL.WARREN@sakilacustomer.org,AD_142,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
139,AMBER DIXON,54459,AMBER.DIXON@sakilacustomer.org,AD_143,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
140,EVA RAMOS,54460,EVA.RAMOS@sakilacustomer.org,AD_144,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
141,DEBBIE REYES,54461,DEBBIE.REYES@sakilacustomer.org,AD_145,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
142,APRIL BURNS,54462,APRIL.BURNS@sakilacustomer.org,AD_146,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
143,LESLIE GORDON,54463,LESLIE.GORDON@sakilacustomer.org,AD_147,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
144,CLARA SHAW,54464,CLARA.SHAW@sakilacustomer.org,AD_148,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
145,LUCILLE HOLMES,54465,LUCILLE.HOLMES@sakilacustomer.org,AD_149,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_1
146,JAMIE RICE,54466,JAMIE.RICE@sakilacustomer.org,AD_150,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_2
147,JOANNE ROBERTSON,54467,JOANNE.ROBERTSON@sakilacustomer.org,AD_151,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_3
148,ELEANOR HUNT,54468,ELEANOR.HUNT@sakilacustomer.org,AD_152,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_4
149,VALERIE BLACK,54469,VALERIE.BLACK@sakilacustomer.org,AD_153,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,PO_5
150,DANIELLE DANIELS,54470,DANIELLE.DANIELS@sakilacustomer.org,AD_154,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_1,null
151,MEGAN PALMER,54471,MEGAN.PALMER@sakilacustomer.org,AD_155,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_2,null
152,ALICIA MILLS,54472,ALICIA.MILLS@sakilacustomer.org,AD_156,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_3,null
153,SUZANNE NICHOLS,54473,SUZANNE.NICHOLS@sakilacustomer.org,AD_157,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_4,null
154,MICHELE GRANT,54474,MICHELE.GRANT@sakilacustomer.org,AD_158,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,PR_5,null
155,GAIL KNIGHT,54475,GAIL.KNIGHT@sakilacustomer.org,AD_159,2021-01-01T00:00:00.000+05:30,2021-01-01T00:00:00.000+05:30,A,null,null
